,Date,Open,High,Low,Close,Volume
593,2022-05-24,101.0,103.29,101.0,102.33,533064.0
594,2022-05-25,102.45,102.9,101.02,102.61,2212379.0
595,2022-05-26,102.62,103.97,102.6,103.41,284727.0
596,2022-05-27,104.0,106.44,103.04,103.71,865427.0
597,2022-05-30,104.0,105.38,102.21,103.44,84055.0
598,2022-05-31,104.88,104.88,102.17,103.4,1211963.0
599,2022-06-01,103.0,103.8,101.7,102.02,597954.0
600,2022-06-02,102.99,103.0,99.3,99.64,1278137.0
601,2022-06-03,99.85,99.96,96.0,96.72,3428620.0
602,2022-06-06,96.1,99.0,96.1,98.19,338817.0
603,2022-06-07,99.49,99.9,96.15,97.08,263677.0
604,2022-06-08,98.33,98.33,95.75,95.89,282448.0
605,2022-06-09,95.89,96.89,95.05,95.35,159495.0
606,2022-06-10,96.58,96.58,95.0,95.23,328567.0
607,2022-06-13,95.99,95.99,89.0,90.44,1666847.0
608,2022-06-14,91.0,93.85,90.01,93.48,496900.0
609,2022-06-15,94.68,95.99,93.0,95.28,373084.0
610,2022-06-16,94.01,96.0,94.01,94.98,301742.0
611,2022-06-17,96.49,97.0,94.0,95.73,660783.0
612,2022-06-20,96.48,96.75,94.11,95.4,85696.0
613,2022-06-21,96.43,97.1,94.22,96.96,4839780.0
614,2022-06-22,96.15,99.39,96.15,96.73,3538321.0
615,2022-06-23,95.05,97.7,95.0,95.31,623293.0
616,2022-06-24,96.48,96.48,90.0,92.87,1533544.0
617,2022-06-27,93.0,97.49,91.1,95.24,992359.0
618,2022-06-28,93.61,96.44,93.61,94.97,573062.0
619,2022-06-29,94.99,95.13,88.3,90.08,3443169.0
620,2022-06-30,89.9,92.5,89.27,91.34,2566730.0
621,2022-07-01,91.49,91.98,89.72,91.14,652624.0
622,2022-07-04,91.25,92.59,90.0,92.12,204822.0
623,2022-07-05,92.0,92.55,90.5,90.67,96954.0
624,2022-07-06,91.9,91.98,90.11,91.7,121903.0
625,2022-07-07,91.6,91.97,91.12,91.82,45485.0
626,2022-07-13,89.05,93.97,89.05,93.06,92146.0
627,2022-07-14,94.0,94.3,92.41,93.79,488639.0
628,2022-07-15,94.98,94.98,92.52,92.86,119617.0
629,2022-07-18,90.27,92.85,90.27,90.93,212336.0
630,2022-07-19,91.0,91.94,87.8,88.58,536224.0
631,2022-07-20,89.25,90.0,87.48,88.33,147724.0
632,2022-07-21,89.8,89.8,86.0,86.53,477633.0
633,2022-07-22,88.95,88.95,83.9,84.64,353168.0
634,2022-07-25,85.45,85.45,83.5,83.57,94226.0
635,2022-07-26,83.6,84.48,81.1,83.92,311482.0
636,2022-07-27,86.99,86.99,82.99,84.44,1366469.0
637,2022-07-28,84.62,86.9,84.05,86.45,2531280.0
638,2022-07-29,86.9,86.9,85.0,86.25,628902.0
639,2022-08-01,88.95,88.95,83.36,85.97,734281.0
640,2022-08-02,86.0,86.0,84.9,85.05,710610.0
641,2022-08-03,85.6,87.95,84.21,86.51,1646552.0
642,2022-08-04,86.9,87.49,85.01,86.51,438995.0
643,2022-08-05,88.39,89.95,86.0,88.68,1594932.0
644,2022-08-10,89.0,92.89,89.0,91.29,1378718.0
645,2022-08-11,92.88,92.88,87.8,88.09,505366.0
646,2022-08-12,88.98,91.17,86.4,90.93,580206.0
647,2022-08-15,91.0,97.74,91.0,95.35,1772521.0
648,2022-08-16,95.5,99.8,94.0,96.95,1572294.0
649,2022-08-17,96.0,101.4,95.8,96.41,1225443.0
650,2022-08-18,97.89,98.49,96.5,96.61,292307.0
651,2022-08-19,97.99,97.99,94.1,96.37,506768.0
